"","author","paper_title","publication_year","aim_study","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","how_computed_1","how_computed_2","how_computed_3","how_computed_4","how_computed_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_1","intervention_2","intervention_3","intervention_4","intervention_5","intervention_times_1","intervention_times_2","intervention_times_3","intervention_times_4","intervention_times_5","exposure_1","exposure_2","exposure_3","exposure_4","exposure_5","exposure_times_1","exposure_times_2","exposure_times_3","exposure_times_4","exposure_times_5","domain","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","test-retest_result_1","test-retest_result_2","test-retest_result_3","test-retest_result_4","test-retest_result_5","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","comparison_significant_1","comparison_significant_2","comparison_significant_3","comparison_significant_4","comparison_significant_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","characteristics_sample_1","characteristics_sample_2","characteristics_sample_3","characteristics_sample_4","characteristics_sample_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5"
"63","Eggers","Predicting Primary and Secondary Abstinence Among Adolescent Boys and Girls in the Western Cape, South Africa",2017,"this study identified socio-cognitive determinants of
primary and secondary abstinence intentions and of early sexual activity. this study also assessed whether these factors had a direct or indirect association with intentions to abstain from sex.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert",NA,NA,NA,NA,"risk perceptions towards getting sti’s and hiv were
assessed by four items pertaining to susceptibility and severity.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,"promote sexual and reproductive health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health","yes",NA,NA,NA,NA,"correlation",NA,NA,NA,NA,"male: .49
female: .43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"students",NA,NA,NA,NA,"adolescents",NA,NA,NA,NA,"south africa",NA,NA,NA,NA,1670,NA,NA,NA,NA,0.61,NA,NA,NA,NA,"13.6",NA,NA,NA,NA,1.01,NA,NA,NA,NA,12,NA,NA,NA,NA,16,NA,NA,NA,NA
"64","Bacenilla-Wong","Concern and risk perception of osteoporosis and fracture among post-menopausal Australian women: results from the Global Longitudinal Study of Osteoporosis in Women (GLOW) cohort",2013,"the purpose of this study is to identify factors associated with concern and perception of risks of osteoporosis and osteoporotic fractures and determine whether bone mineral density (bmd) testing influenced concern and risk perception.",NA,"longitudinal","risk","concern",NA,NA,NA,"scale","questionnaire",NA,NA,NA,"5-point likert",NA,NA,NA,NA,"perception of risk of getting osteoporosis and having a fracture were both assessed by asking participants to rate their own risk of getting osteo-
porosis and also their own risk of having a fracture (i.e. a lot lower, a little lower, about the same, a little higher or much higher compared to other women their age).","concern about osteoporosis’ was assessed by asking participants to rate their level of concern about osteoporosis (i.e. very concerned, a little concerned or not at all concerned)",NA,NA,NA,"4",4,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Poulus","Longitudinal analysis of stressors, stress, coping and coping effectiveness in elite esports athletes",2022,"the current study aimed to longitudinally examine the stressors, stress appraisal, coping, and coping effectiveness experienced by elite esports athletes.",NA,"longitudinal","threat",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"threat (i perceive this stressor as being potentially harmful or causing loss)",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: stress and coping in esports","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Gong","Threats of COVID-19 arouse public awareness of climate change risks",2022,"(1) confirming the causal relationship between covid-19 and climate change risk perception (i.e., the ‘‘arousal’’ effect) with longitudinal panel data from a large-scale
survey, and (2) examining the hypothesized affective and cognitive pathways as the potential mechanisms.","data available upon request","longitudinal","risk","risk",NA,NA,NA,"scale","scale",NA,NA,NA,"7-point likert scale","7-point likert scale",NA,NA,NA,"covid-19 risk perception: self-reported severity,
perceived others’ severity perception, and perceived strength of the risk’s impact.","climate change risk perception: self-reported severity,
perceived others’ severity perception, and perceived strength of the risk’s impact.",NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19","covid-19",NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; natural catastrophe; other: climate change","yes","yes",NA,NA,NA,"correlation","mean difference",NA,NA,NA,"covid: .49
climate: .31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"increased t1-t2",NA,NA,NA,"1 month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 month",NA,NA,NA,"laypeople","laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,"china","china",NA,NA,NA,1266,1266,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,NA,NA,NA,NA,NA,NA,NA,NA
"67","Smith","Parental monitoring for type 1 diabetes in genetically at-risk young children: The TEDDY study",2021,"we examined parental diabetes monitoring behaviors in a cohort of children at increased genetic risk for type 1 diabetes. we hypothesized that being informed of a positive islet autoantibody (ia) would increase monitoring behaviors",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"the responses were coded as accurate or an underestimate",NA,NA,NA,NA,"parents were asked about their perception of their child's risk for developing type 1 diabetes at the 6-month visit, the 15-month visit, and annually thereafter. their responses were coded as accurate (the
child's diabetes risk was higher or much higher than other children's
risk) or an underestimate (the child's diabetes risk was the same,
somewhat lower, or much lower than other children's risk)",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,"diabetes 1 testing",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: diabetes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","de Graaff","Governance and risk in everyday life: depoliticization and citizens' experiences of cell site deployment in the Netherlands and Southern California",2019,"to map changes in citizens’ experiences of technological risks and asks if these are influenced by risk governance","dutch national level panel","serial-cross sectional","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"5-point likert",NA,NA,NA,NA,"our risk perception question was: ‘how worried are you about the health effects of cell towers?’",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other: technological (cell site deployment)","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Betsch","How baby’s first shot determines the development of maternal attitudes towards vaccination",2018,"this study aimed to assess how and why attitudes become more pro-vaccine or vaccine-skeptical over time, and which sources are especially influential in this process.","https://osf.io/chk97","longitudinal","risk","concern",NA,NA,NA,"scale","questionnaire",NA,NA,NA,"0 (no risk) to 100 (very high risk)","0 (no concern) to 100 (very high concern)",NA,NA,NA,"perceived risk of vaccine-adverse events and of vaccine-preventable disease","concerns about vaccine-adverse events and about vaccine-preventable disease",NA,NA,NA,"4",4,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vaccination/pregnancy","vaccination/pregnancy",NA,NA,NA,3,3,NA,NA,NA,"health; other: pregnancy","yes","yes",NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant","significant",NA,NA,NA,"t0 - follow- up 1 (+3months)
t0 - follow- up 2 (+6months)
t0 - follow- up 3(+14months)
follow up 1 (+3months) - follow- up 3(+14months)","t0 - follow- up 1 (+3months)
t0 - follow- up 3(+14months)
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.5 months","7.5 months",NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"mothers","mothers",NA,NA,NA,"adults","adults",NA,NA,NA,"germany","germany",NA,NA,NA,351,351,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,NA,NA,NA,49,49,NA,NA,NA
"70","Köteles","Modern Health Worries, Somatosensory Amplification and Subjective Symptoms: A Longitudinal Study",2013,"the study investigates the temporal association among subjective symptoms, somatosensory amplification (ssa), and modern health worries (mhws).",NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"25 items. modern health worries. the scale is divided into four sub scales (environmental pollution, toxic interventions, tainted food, radiation)",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; natural catastrophe; nuclear power accidents ; other: environmental pollution, toxic interventions, tainted food, radiation","yes",NA,NA,NA,NA,"correlation",NA,NA,NA,NA,"r=0.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Bearth","Reactions of older Swiss adults to the COVID-19 pandemic: A longitudinal  survey on the acceptance of and adherence to public health measures",2021,"to improve public health communication, it is vital to understand, which sociodemographic and psychological factors drive older people’s acceptance of and compliance with public health measures.",NA,"serial-cross sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"7-point likert",NA,NA,NA,NA,"personal risk perception was measured with three single items related 
to a) likelihood of infection, b) vulnerability to infection and c) severity 
of illness",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"likelihood of infection and vulnerability to infection: wave 1 -wave 2 (increased)
wave 2 -wave 3 (remained stable)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 month",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"older adults",NA,NA,NA,NA,"switzerland",NA,NA,NA,NA,327,NA,NA,NA,NA,0.31,NA,NA,NA,NA,"70",NA,NA,NA,NA,7,NA,NA,NA,NA,59,NA,NA,NA,NA,90,NA,NA,NA,NA
"72","Liao","Trajectories of public psycho-behavioural responses relating to influenza A(H7N9) over the winter of 2014-15 in Hong Kong",2019,"to explore trajectories of public psycho-behavioural
responses over one influenza a(h7n9) epidemic wave, and examine the interplays among social norm influence, disease worry and protective behaviours",NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point categorical scale",NA,NA,NA,NA,"worry about h7n9: participants were asked to rate their level of worry about personal and family/relatives being infected with h7n9, respectively, on a five-point categorical scale. internal consistency was desirable with cronbach’s a ranging between 0.71 and 0.79 over the five phases.",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: influenza a (h7n9)","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Osório","Monitoring the Mental Health and Professional Overload of Health Workers in Brazil: A Longitudinal Study Considering the First Wave of the COVID-19 Pandemic",2022,"the objective was to assess the evolution of mental health indicators of brazilian health workers providing care to covid-19 patients, considering the beginning and first wave of the pandemic, identifying risk and protective factors.","data available upon request","longitudinal","concern",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"2-point likert scale (yes, no)",NA,NA,NA,NA,"concerns with being infected; concerns with a family member being infected",NA,NA,NA,NA,"7",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: mental health and professional overload of health workers","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Kent","The relationship between perceived risk, thought intrusiveness and emotional well-being in women receiving counselling for breast cancer risk in a family history clinic",2000,"this study was designed to assess changes in perceived risk, cognitive intrusions and distress in women undergoing counselling for familial risk of developing breast cancer.",NA,"longitudinal","risk","risk","risk",NA,NA,"scale","scale","scale",NA,NA,"10 cm visual analogue scale (vas), ranging from ‘not at all likely’ to ‘virtually inevitable’","10 cm visual analogue scale (vas), ranging from ‘not at all likely’ to ‘virtually inevitable’","10 cm visual analogue scale (vas), ranging from ‘not at all likely’ to ‘virtually inevitable’",NA,NA,"in order to assess perceived risk, the women were asked to indicate the extent to which they believed that they would develop breast cancer sometime in their lives","in order to assess perceived risk, the women were asked to indicate the extent to which they believed that they would develop breast cancer sometime in their lives","in order to assess perceived risk, the women were asked to indicate the extent to which they believed that they would develop breast cancer sometime in their lives",NA,NA,"3",3,3,NA,NA,"single","single","single",NA,NA,"counselling. following referral, women were visited at home by a trained nurse specialist. a family pedigree was constructed, specific anxieties were identified and an outline of the
forthcoming clinic visit was provided.","counselling. following referral, women were visited at home by a trained nurse specialist. a family pedigree was constructed, specific anxieties were identified and an outline of the
forthcoming clinic visit was provided.","counselling. following referral, women were visited at home by a trained nurse specialist. a family pedigree was constructed, specific anxieties were identified and an outline of the
forthcoming clinic visit was provided.",NA,NA,"1",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cancer ; other: breast cancer","yes","yes","yes",NA,NA,"correlation","correlation","correlation",NA,NA,"r=0.71","r=0.73","r=0.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t1-t2","t1-t3","t2-t3",NA,NA,"3 months","6 months","3 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople","laypeople","laypeople",NA,NA,NA,NA,NA,NA,NA,"adults","adults","adults",NA,NA,NA,"uk","uk",NA,NA,49,49,49,NA,NA,1,1,1,NA,NA,"36.8",36.8,36.8,NA,NA,7.3,7.3,7.3,NA,NA,23,23,23,NA,NA,63,63,63,NA,NA
"75","Vornanen","Diabetes and Cardiovascular Disease Risk Perception and Risk Indicators: a 5-Year Follow-up",2021,"we examined in a 5-year follow-up, whether perceived risks of diabetes and cardiovascular disease predicted physical activity, body mass index (bmi kg/m2), and blood glucose level, or the reverse. we examined further whether perceived risk, self-efficacy, and outcome beliefs
together predicted changes in these risk indicators.",NA,"longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"perceived absolute lifetime risk of diabetes was measured at
baseline and at follow-up, before health examinations, with
a single item: how do you evaluate your own risk of getting
diabetes in your lifetime? 0 = i have diabetes, 1 = very low, 2
= low, 3 = moderate, 4 = high, 5 = very high.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,"health examination",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: diabetes","yes",NA,NA,NA,NA,"correlation",NA,NA,NA,NA,"r=0.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"5 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"finland",NA,NA,NA,NA,909,NA,NA,NA,NA,0.577,NA,NA,NA,NA,"55.9",NA,NA,NA,NA,6.9,NA,NA,NA,NA,45,NA,NA,NA,NA,74,NA,NA,NA,NA
"76","Aslan","Adaption and validation of the Turkish version of the vaccine hesitancy 5 point Likert Scale",2021,"the objective of this study was to adapt and validate the turkish version of the vaccine hesitancy 5-point likert scale which was originally developed by the who strategic advisory group of experts on immunization.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe","yes",NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"r= 0.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"two weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"parents",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"turkey",NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Bae","Examining ""intact"" tourism behaviour in South Korea during the COVID-19 pandemic: a two-wave longitudinal study (March and September 2020)",2022,"this study aims to (a) examine individuals’ domestic travel experiences and patterns among korean people, (b) develop a measurement scale for untact tourism from an emic perspective, and (c) demonstrate the major antecedents of untact tourism behaviour",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert",NA,NA,NA,NA,"measured using two sub scales, cognitive and affective perception",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,1,NA,NA,NA,NA,"health catastrophe","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"affective risk perception t1-t2
cognitive risk perception t1-t2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 months",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"south korea",NA,NA,NA,NA,290,NA,NA,NA,NA,0.503,NA,NA,NA,NA,"38.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,49,NA,NA,NA,NA
"78","van Gendere","Trends in Knowledge, Attitudes, and Practices of Travel Risk Groups Toward Prevention of Hepatitis A: Results From the Dutch Schiphol Airport Survey 2002 to 2009",2012,"the aim to study trends in kap of travel risk groups toward prevention of hepatitis a.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"0-100%",NA,NA,NA,NA,"the accuracy (correct risk perception) was expressed as a percentage of maximal correctness, ranging from
0 to 100%.",NA,NA,NA,NA,"7",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: hepatitis a, travel","yes",NA,NA,NA,NA,"time trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rend analyses clearly demonstrated that the attitude of travelers to high-risk destinations
also significantly improved over time, although the observed reduction of intended risk behavior was small (about 1% per year)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 year",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"travelers",NA,NA,NA,NA,"older adults",NA,NA,NA,NA,"netherlands",NA,NA,NA,NA,3050,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Landi","Embedding sustainability in risk management: The impact of environmental, social, and governance ratings on corporate financial risk",2022,"this study investigates the effect of corporate social and environmental evaluation on investors' risk perception to explore the potential market risk for public companies that adopt a sustainable and responsible corporate strategy",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"to achieve a wider perspective of investor risk perception, we used double measurement: on one side, we focused on the systematic risk exposure of our sampled companies to consider the market view; on the other side, we dealt with the volatility risk measure to obtain the overall investor perception",NA,NA,NA,NA,"60",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial; natural catastrophe; other: sustainability","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Castro","Perception of HIV risk and the quantity and quality of children: the case of rural Malawi",2015,"this study introduces individual hiv risk perceptions, as a predictor of mortality, into a q–n investment model",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"4-point likert scale",NA,NA,NA,NA,"1 item",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
